player_name,player_key,ppn,player_full_name,matched_by,fuzzy_score,is_correct
Vesa Ahti,38068.0,V. Ahti,Vesa Ahti,sorted_name,,ok
Aidan Kim,9381.0,A. Kim,Aidan Kim,sorted_name,,ok
Aidan Mayo,9216.0,A. Mayo,Aidan Mayo,sorted_name,,ok
Aidan McHugh,875.0,A. McHugh,Aidan McHugh,sorted_name,,ok
Ainius Sabaliauskas,21543.0,A. Sabaliauskas,Ainius Sabaliauskas,sorted_name,,ok
Artur Aiukhanov,90116.0,A. Aiukhanov,Artur Aiukhanov,sorted_name,,ok
Ajay Malik,23375.0,A. Malik,Ajay Malik,sorted_name,,ok
Duje Ajdukovic,392.0,D. Ajdukovic,Duje Ajdukovic,sorted_name,,ok
Ajeet Rai,3224.0,A. Rai,Ajeet Rai,sorted_name,,ok
Akira Santillan,868.0,A. Santillan,Akira Santillan,sorted_name,,ok
Akram El Sallaly,705.0,A. El Sallaly,Akram El Sallaly,sorted_name,,ok
Karim Al-Amin,71900.0,K. Al-Amin,Karim Al-Amin,sorted_name,,ok
Taym Al Azmeh,38100.0,T. Al Azmeh,Taym Al Azmeh,sorted_name,,ok
Alaa Trifi,63836.0,A. Trifi,Alaa Trifi,sorted_name,,ok
Bader Alabdullah,39944.0,B. Alabdullah,Bader Alabdullah,sorted_name,,ok
Alafia Ayeni,2481.0,A. Ayeni,Alafia Ayeni,sorted_name,,ok
Peter Alam,55860.0,P. Alam,Peter Alam,sorted_name,,ok
Shaheed Alam,16555.0,S. Alam,Shaheed Alam,sorted_name,,ok
Alan Bojarski,15216.0,A. Bojarski,Alan Bojarski,sorted_name,,ok
Alan Fernando Rubio Fierros,14088.0,A. F. Rubio Fierros,Fernando Rubio Fierros Alan,sorted_name,,ok
Alan Magadan,60067.0,A. Magadan,Alan Magadan,sorted_name,,ok
Alan Wazny,71082.0,A. Wazny,Alan Wazny,sorted_name,,ok
Benjamin Denis Alarcon,37946.0,B. D. Alarcon,Denis Alarcon Benjamin,sorted_name,,ok
Alastair Gray,2110.0,A. Gray,Alastair Gray,sorted_name,,ok
Rafael De Alba,72766.0,R. De Alba,Rafael De Alba,sorted_name,,ok
Albano Olivetti,5067.0,A. Olivetti,Albano Olivetti,sorted_name,,ok
Fantino Alberca De Las Casas,93495.0,C. F. Alberca d. l.,Fantino Alberca de las Casas,sorted_name,,ok
Albert Pedrico Kravtsov,55487.0,K. A. Pedrico,Albert Pedrico Kravtsov,sorted_name,,ok
Albert Ramos-Vinolas,1090.0,A. Ramos,Albert Ramos-Vinolas,sorted_name,,ok
Filippo Alberti,64840.0,F. Alberti,Filippo Alberti,sorted_name,,ok
Alberto Odiseo Alvarado Berrospi,13760.0,A. O. Alvarado Berrospi,Odiseo Alvarado Berrospi Alberto,sorted_name,,ok
Alberto Barroso Campos,1266.0,A. Barroso Campos,Alberto Barroso Campos,sorted_name,,ok
Alberto Bronzetti,56232.0,A. Bronzetti,Alberto Bronzetti,sorted_name,,ok
