place,player,player_key,league,movement,country,points,download_time
270,Mia Ristic,38070.0,WTA,down,Serbia,254,2026-02-14 02:29:48
271,Lizette Cabrera,497.0,WTA,up,Australia,253,2026-02-14 02:29:48
272,Celine Naef,10911.0,WTA,up,Switzerland,252,2026-02-14 02:29:48
273,Dalila Spiteri,4188.0,WTA,up,Italy,249,2026-02-14 02:29:48
274,Caterina Grant Tyra,40794.0,WTA,up,Italy,247,2026-02-14 02:29:48
275,Mika Stojsavljevic,63495.0,WTA,up,United Kingdom,247,2026-02-14 02:29:48
276,Lucie Havlickova,8975.0,WTA,same,Czech Republic,245,2026-02-14 02:29:48
277,Fangran Tian,13672.0,WTA,down,China,243,2026-02-14 02:29:48
278,Heather Watson,1155.0,WTA,up,United Kingdom,241,2026-02-14 02:29:48
279,Katharina Hobgarski,1827.0,WTA,same,Germany,241,2026-02-14 02:29:48
280,Carolyn Ansari,40166.0,WTA,same,USA,241,2026-02-14 02:29:48
281,Tessah Andrianjafitrimo,1147.0,WTA,down,France,237,2026-02-14 02:29:48
282,Katrina Scott,186.0,WTA,down,USA,237,2026-02-14 02:29:48
283,Mei Yamaguchi,98.0,WTA,up,Japan,235,2026-02-14 02:29:48
284,Wakana Sonobe,38855.0,WTA,up,Japan,232,2026-02-14 02:29:48
285,Johanna Brockmann Tessa,63288.0,WTA,same,Germany,232,2026-02-14 02:29:48
286,Alisa Oktiabreva,78480.0,WTA,same,World,231,2026-02-14 02:29:48
287,Matilde Jorge,97.0,WTA,same,Portugal,230,2026-02-14 02:29:48
288,Samira De Stefano,37984.0,WTA,same,Italy,230,2026-02-14 02:29:48
289,Vendula Valdmannova,30799.0,WTA,down,Czech Republic,226,2026-02-14 02:29:48
290,Zarina Diyas,1800.0,WTA,up,Kazakhstan,225,2026-02-14 02:29:48
291,Robin Montgomery,2123.0,WTA,up,USA,224,2026-02-14 02:29:48
292,Anouck Vrancken Peeters,2250.0,WTA,down,Netherlands,224,2026-02-14 02:29:48
293,Hiromi Abe,14313.0,WTA,up,Japan,223,2026-02-14 02:29:48
294,Lia Karatancheva,155.0,WTA,up,Bulgaria,221,2026-02-14 02:29:48
295,Kyoka Okamura,1396.0,WTA,down,Japan,216,2026-02-14 02:29:48
296,Rina Saigo,73.0,WTA,up,Japan,216,2026-02-14 02:29:48
297,Ekaterina Reyngold,1814.0,WTA,up,World,215,2026-02-14 02:29:48
298,Ruxandra Bertea Elena,67747.0,WTA,up,Romania,215,2026-02-14 02:29:48
299,Jule Niemeier,471.0,WTA,up,Germany,214,2026-02-14 02:29:48
300,Haruka Kaji,5088.0,WTA,up,Japan,214,2026-02-14 02:29:48
301,Renata Jamrichova,37894.0,WTA,up,Slovakia,212,2026-02-14 02:29:48
302,Valentina Ryser,101.0,WTA,up,Switzerland,210,2026-02-14 02:29:48
303,Ayla Aksu,4363.0,WTA,down,Turkey,210,2026-02-14 02:29:48
304,Dayeon Back,20923.0,WTA,up,South Korea,209,2026-02-14 02:29:48
305,Anastasia Zolotareva,13411.0,WTA,up,World,208,2026-02-14 02:29:48
306,Jeline Vandromme,73460.0,WTA,down,Belgium,208,2026-02-14 02:29:48
307,Laura Hietaranta,9247.0,WTA,down,Finland,208,2026-02-14 02:29:48
308,Akasha Urhobo,127.0,WTA,up,USA,207,2026-02-14 02:29:48
309,Alicia Herrero Linana,14112.0,WTA,up,Spain,207,2026-02-14 02:29:48
310,Gabriela Ce,4752.0,WTA,down,Brazil,207,2026-02-14 02:29:48
311,Katarina Zavatska,480.0,WTA,up,Ukraine,207,2026-02-14 02:29:48
312,Lea Boskovic,161.0,WTA,down,Croatia,206,2026-02-14 02:29:48
313,Katarina Jokic,8284.0,WTA,up,Serbia,206,2026-02-14 02:29:48
314,Eunhye Lee,,WTA,up,South Korea,205,2026-02-14 02:29:48
315,Polona Hercog,2819.0,WTA,up,Slovenia,204,2026-02-14 02:29:48
316,Vivian Wolff,13506.0,WTA,up,USA,203,2026-02-14 02:29:48
317,Jennifer Ruggeri,21178.0,WTA,up,Italy,202,2026-02-14 02:29:48
318,Margaux Rouvroy,9119.0,WTA,down,France,201,2026-02-14 02:29:48
319,Tiphanie Lemaitre,1432.0,WTA,up,France,201,2026-02-14 02:29:48
320,Caroline Garcia,1148.0,WTA,up,France,200,2026-02-14 02:29:48
321,Destanee Aiava,3134.0,WTA,up,Australia,200,2026-02-14 02:29:48
322,Julie Struplova,15563.0,WTA,up,Czech Republic,200,2026-02-14 02:29:48
323,Alevtina Ibragimova,51378.0,WTA,up,World,199,2026-02-14 02:29:48
324,Sakura Hosogi,1399.0,WTA,up,Japan,199,2026-02-14 02:29:48
325,Daria Khomutsianskaya,37975.0,WTA,up,World,198,2026-02-14 02:29:48
326,Aurora Zantedeschi,170.0,WTA,up,Italy,197,2026-02-14 02:29:48
327,Lea Ma,53951.0,WTA,down,USA,197,2026-02-14 02:29:48
328,Erika Andreeva,1958.0,WTA,up,World,194,2026-02-14 02:29:48
329,Mariam Bolkvadze,1806.0,WTA,same,Georgia,193,2026-02-14 02:29:48
330,Han Shi,38097.0,WTA,down,China,192,2026-02-14 02:29:48
331,Amarni Banks,13898.0,WTA,down,United Kingdom,191,2026-02-14 02:29:48
332,Carol Zhao,1822.0,WTA,down,Canada,190,2026-02-14 02:29:48
333,Nadine Smith Tina,12994.0,WTA,up,Australia,189,2026-02-14 02:29:48
334,Yidi Yang,,WTA,down,China,188,2026-02-14 02:29:48
335,Victoria Bosio,4019.0,WTA,up,Argentina,188,2026-02-14 02:29:48
336,Martyna Kubka,2295.0,WTA,up,Poland,188,2026-02-14 02:29:48
337,Francesca Pace,24135.0,WTA,down,Italy,188,2026-02-14 02:29:48
338,Isabella Shinikova,503.0,WTA,down,Bulgaria,187,2026-02-14 02:29:48
339,Hanna Chang,1128.0,WTA,down,USA,186,2026-02-14 02:29:48
340,Miho Kuramochi,1052.0,WTA,down,Japan,186,2026-02-14 02:29:48
341,Nina Stojanovic,3004.0,WTA,up,Serbia,185,2026-02-14 02:29:48
342,Ariana Geerlings Martinez,37888.0,WTA,up,Spain,185,2026-02-14 02:29:48
343,Alexandra Shubladze,38880.0,WTA,up,World,185,2026-02-14 02:29:48
344,Petra Martic,2173.0,WTA,up,Croatia,183,2026-02-14 02:29:48
345,Mia Pohankova,61034.0,WTA,down,Slovakia,183,2026-02-14 02:29:48
346,Elena Malygina,1994.0,WTA,down,Estonia,183,2026-02-14 02:29:48
347,Francesca Curmi,145.0,WTA,up,Malta,183,2026-02-14 02:29:48
348,Eryn Cayetano,38190.0,WTA,down,USA,183,2026-02-14 02:29:48
349,Julieta Pareja,32553.0,WTA,up,USA,182,2026-02-14 02:29:48
350,Monika Ekstrand,68739.0,WTA,down,USA,182,2026-02-14 02:29:48
351,Viktoria Morvayova,72.0,WTA,up,Slovakia,182,2026-02-14 02:29:48
352,Gabriela Lee,1786.0,WTA,up,Romania,182,2026-02-14 02:29:48
353,Natalija Senic,14152.0,WTA,up,Serbia,182,2026-02-14 02:29:48
354,Yafan Wang,2276.0,WTA,up,China,180,2026-02-14 02:29:48
355,Aliona Falei,9265.0,WTA,up,World,180,2026-02-14 02:29:48
356,Sijia Wei,40.0,WTA,up,China,178,2026-02-14 02:29:48
357,Carlota Martinez Cirez,144.0,WTA,up,Spain,177,2026-02-14 02:29:48
358,Kristina Dmitruk,2298.0,WTA,same,World,174,2026-02-14 02:29:48
359,Shuo Liang En,2574.0,WTA,same,Taiwan,174,2026-02-14 02:29:48
360,Nastasja Schunk,487.0,WTA,down,Germany,174,2026-02-14 02:29:48
