place,player,player_key,league,movement,country,points,download_time
75,Arthur Cazaux,1067.0,ATP,up,France,755,2026-02-12 02:42:18
76,Filip Misolic,594.0,ATP,up,Austria,728,2026-02-12 02:42:18
77,Quentin Halys,1925.0,ATP,up,France,725,2026-02-12 02:42:18
78,Aleksandar Kovacevic,2978.0,ATP,up,USA,721,2026-02-12 02:42:18
79,Hamad Medjedovic,2677.0,ATP,up,Serbia,717,2026-02-12 02:42:18
80,Manuel Cerundolo Juan,388.0,ATP,up,Argentina,717,2026-02-12 02:42:18
81,Emilio Nava,567.0,ATP,up,USA,710,2026-02-12 02:42:18
82,Jan-Lennard Struff,2831.0,ATP,up,Germany,706,2026-02-12 02:42:18
83,James Duckworth,1900.0,ATP,up,Australia,691,2026-02-12 02:42:18
84,Alexander Shevchenko,566.0,ATP,up,Kazakhstan,690,2026-02-12 02:42:18
85,Roberto Bautista-Agut,2734.0,ATP,up,Spain,685,2026-02-12 02:42:18
86,Jesper De Jong,412.0,ATP,up,Netherlands,673,2026-02-12 02:42:18
87,Jacob Fearnley,12951.0,ATP,up,United Kingdom,668,2026-02-12 02:42:18
88,Aleksandar Vukic,360.0,ATP,up,Australia,656,2026-02-12 02:42:18
89,Cristian Garin,2071.0,ATP,up,Chile,656,2026-02-12 02:42:18
90,Yannick Hanfmann,1764.0,ATP,up,Germany,653,2026-02-12 02:42:18
91,Laslo Djere,2386.0,ATP,up,Serbia,651,2026-02-12 02:42:18
92,Agustin Tirante Thiago,366.0,ATP,up,Argentina,647,2026-02-12 02:42:18
93,Adam Walton,10070.0,ATP,down,Australia,643,2026-02-12 02:42:18
94,Pedro Martinez,1775.0,ATP,down,Spain,636,2026-02-12 02:42:18
95,Vit Kopriva,1083.0,ATP,up,Czech Republic,632,2026-02-12 02:42:18
96,Ignacio Buse,9514.0,ATP,up,Peru,623,2026-02-12 02:42:18
97,Luca Nardi,386.0,ATP,up,Italy,621,2026-02-12 02:42:18
98,Dalibor Svrcina,1754.0,ATP,down,Czech Republic,618,2026-02-12 02:42:18
99,Hugo Gaston,1102.0,ATP,same,France,616,2026-02-12 02:42:18
100,Carlos Taberner,1974.0,ATP,up,Spain,608,2026-02-12 02:42:18
101,Daniel Vallejo Adolfo,9217.0,ATP,down,Paraguay,580,2026-02-12 02:42:18
102,Tristan Schoolkate,1183.0,ATP,down,Australia,570,2026-02-12 02:42:18
103,Alexander Blockx,39913.0,ATP,down,Belgium,570,2026-02-12 02:42:18
104,Andres Burruchaga Roman,9596.0,ATP,down,Argentina,568,2026-02-12 02:42:18
105,Pablo Carreno-Busta,434.0,ATP,up,Spain,566,2026-02-12 02:42:18
106,Stan Wawrinka,2168.0,ATP,down,Switzerland,562,2026-02-12 02:42:18
107,Mattia Bellucci,2112.0,ATP,up,Italy,553,2026-02-12 02:42:18
