results_for_player_key,tournament_sourface,won_main_player,lost_main_player,event_key
1895,- Preliminary,1,1,2
1895,Clay,14,6,20
1895,Grass,5,2,7
1895,Hard,16,9,25
1895,Hard (Indoor),13,6,19
1895,clay,4,0,4
