player_key,season,type,rank,titles,matches_won,matches_lost,hard_won,hard_lost,clay_won,clay_lost,grass_won,grass_lost,download_time
1905,2021,doubles,255,0,6,4,2,2,,,3,0,2025-12-29 16:55:28
1905,2020,doubles,158,0,2,1,2,1,,,,,2025-12-29 16:55:28
1905,2019,doubles,139,0,6,7,6,6,0,1,,,2025-12-29 16:55:28
1905,2018,doubles,268,0,2,4,2,3,0,0,0,1,2025-12-29 16:55:28
1905,2017,doubles,234,0,3,2,2,1,1,1,,,2025-12-29 16:55:28
1905,2016,doubles,,0,1,4,1,4,,,,,2025-12-29 16:55:28
1905,2015,doubles,125,0,7,5,7,5,,,,,2025-12-29 16:55:28
1905,2014,doubles,573,0,1,3,1,3,,,,,2025-12-29 16:55:28
1905,2013,doubles,572,0,2,1,2,1,,,,,2025-12-29 16:55:28
1905,2012,doubles,,0,0,2,0,1,,,0,1,2025-12-29 16:55:28
1905,2011,doubles,240,0,3,5,3,5,,,,,2025-12-29 16:55:28
1905,2010,doubles,163,1,7,5,1,4,1,1,5,0,2025-12-29 16:55:28
1905,2009,doubles,114,0,6,5,0,1,5,3,1,1,2025-12-29 16:55:28
1905,2008,doubles,579,0,2,5,1,3,1,1,0,1,2025-12-29 16:55:28
1905,2007,doubles,143,0,7,9,7,5,0,2,0,1,2025-12-29 16:55:28
1905,2006,doubles,300,0,3,11,1,6,1,4,1,1,2025-12-29 16:55:28
1905,2005,doubles,688,0,4,1,,,4,1,,,2025-12-29 16:55:28
1905,2004,doubles,381,0,0,1,,,0,1,,,2025-12-29 16:55:28
1905,2020,mixed_doubles,,0,2,1,2,1,,,,,2025-12-29 16:55:28
1905,2013,mixed_doubles,,0,2,2,2,2,,,,,2025-12-29 16:55:28
1905,2011,mixed_doubles,,0,2,1,2,1,,,,,2025-12-29 16:55:28
1905,2008,mixed_doubles,,0,3,1,3,1,,,,,2025-12-29 16:55:28
1905,2006,mixed_doubles,,0,1,1,1,1,,,,,2025-12-29 16:55:28
1905,2022,singles,5,5,42,7,21,3,14,4,7,0,2025-12-29 16:55:28
1905,2021,singles,1,5,51,5,22,2,18,3,7,0,2025-12-29 16:55:28
1905,2020,singles,1,4,45,7,34,6,11,1,,,2025-12-29 16:55:28
1905,2019,singles,2,5,57,11,35,8,15,3,7,0,2025-12-29 16:55:28
1905,2018,singles,1,4,53,13,31,7,11,5,11,1,2025-12-29 16:55:28
1905,2017,singles,12,2,32,8,12,3,12,4,8,1,2025-12-29 16:55:28
1905,2016,singles,2,7,65,9,47,6,16,2,2,1,2025-12-29 16:55:28
1905,2015,singles,1,11,82,6,59,5,16,1,7,0,2025-12-29 16:55:28
1905,2014,singles,1,7,61,8,40,6,14,2,7,0,2025-12-29 16:55:28
1905,2013,singles,2,7,77,10,56,6,15,3,6,1,2025-12-29 16:55:28
1905,2012,singles,1,6,75,12,50,5,16,4,9,3,2025-12-29 16:55:28
1905,2011,singles,1,10,73,6,49,5,17,1,7,0,2025-12-29 16:55:28
1905,2010,singles,3,2,61,18,43,12,12,4,6,2,2025-12-29 16:55:28
1905,2009,singles,3,5,78,19,53,11,17,6,8,2,2025-12-29 16:55:28
1905,2008,singles,3,4,67,17,46,12,16,3,5,2,2025-12-29 16:55:28
1905,2007,singles,3,5,65,19,43,12,16,5,6,2,2025-12-29 16:55:28
1905,2006,singles,16,2,36,19,18,12,14,5,4,2,2025-12-29 16:55:28
1905,2005,singles,78,0,18,9,8,6,5,2,5,1,2025-12-29 16:55:28
1905,2004,singles,186,0,1,3,0,1,1,2,,,2025-12-29 16:55:28
1905,2022,doubles,,0,1,0,1,0,,,,,2025-12-29 16:55:28
1905,2023,doubles,,0,2,4,2,2,,,,,2025-12-29 16:55:28
1905,2023,singles,1,7,56,7,36,2,12,3,6,1,2025-12-29 16:55:28
1905,2024,doubles,,0,1,0,0,0,,,,,2025-12-29 16:55:28
1905,2024,singles,7,1,37,9,15,5,16,3,5,1,2025-12-29 16:55:28
1905,2025,doubles,493,0,2,2,2,2,,,,,2025-12-29 16:55:28
1905,2025,singles,4,2,39,11,25,7,9,3,5,1,2025-12-29 16:55:28
1905,2025,mixed_doubles,,0,0,1,0,1,,,,,2025-12-29 16:55:28
