event_key,event_date,set_number,number_game,player_served,serve_winner,serve_lost,game_score,number_point,point_score,break_point,set_point,match_point,download_time
12006806,2025-01-14,Set 1,1,Second Player,Second Player,,0 - 1,1,0 - 15,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,1,Second Player,Second Player,,0 - 1,2,0 - 30,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,1,Second Player,Second Player,,0 - 1,3,15 - 30,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,1,Second Player,Second Player,,0 - 1,4,15 - 40,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,2,First Player,First Player,,1 - 1,1,15 - 0,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,2,First Player,First Player,,1 - 1,2,15 - 15,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,2,First Player,First Player,,1 - 1,3,30 - 15,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,2,First Player,First Player,,1 - 1,4,40 - 15,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,3,Second Player,Second Player,,1 - 2,1,0 - 15,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,3,Second Player,Second Player,,1 - 2,2,15 - 15,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,3,Second Player,Second Player,,1 - 2,3,15 - 30,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,3,Second Player,Second Player,,1 - 2,4,30 - 30,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,3,Second Player,Second Player,,1 - 2,5,30 - 40,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,4,First Player,First Player,,2 - 2,1,0 - 15,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,4,First Player,First Player,,2 - 2,2,15 - 15,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,4,First Player,First Player,,2 - 2,3,30 - 15,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,4,First Player,First Player,,2 - 2,4,40 - 15,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,5,Second Player,Second Player,,2 - 3,1,0 - 15,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,5,Second Player,Second Player,,2 - 3,2,15 - 15,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,5,Second Player,Second Player,,2 - 3,3,15 - 30,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,5,Second Player,Second Player,,2 - 3,4,30 - 30,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,5,Second Player,Second Player,,2 - 3,5,30 - 40,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,5,Second Player,Second Player,,2 - 3,6,40 - 40,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,5,Second Player,Second Player,,2 - 3,7,40 - A,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,5,Second Player,Second Player,,2 - 3,8,40 - 40,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,5,Second Player,Second Player,,2 - 3,9,40 - A,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,5,Second Player,Second Player,,2 - 3,10,40 - 40,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,5,Second Player,Second Player,,2 - 3,11,A - 40,First Play,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,5,Second Player,Second Player,,2 - 3,12,40 - 40,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,5,Second Player,Second Player,,2 - 3,13,40 - A,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,5,Second Player,Second Player,,2 - 3,14,40 - 40,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,5,Second Player,Second Player,,2 - 3,15,40 - A,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,6,First Player,First Player,,3 - 3,1,15 - 0,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,6,First Player,First Player,,3 - 3,2,30 - 0,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,6,First Player,First Player,,3 - 3,3,40 - 0,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,7,Second Player,Second Player,,3 - 4,1,0 - 15,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,7,Second Player,Second Player,,3 - 4,2,15 - 15,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,7,Second Player,Second Player,,3 - 4,3,30 - 15,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,7,Second Player,Second Player,,3 - 4,4,30 - 30,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,7,Second Player,Second Player,,3 - 4,5,30 - 40,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,8,First Player,First Player,,4 - 4,1,15 - 0,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,8,First Player,First Player,,4 - 4,2,30 - 0,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,8,First Player,First Player,,4 - 4,3,40 - 0,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,9,Second Player,Second Player,,4 - 5,1,15 - 0,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,9,Second Player,Second Player,,4 - 5,2,15 - 15,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,9,Second Player,Second Player,,4 - 5,3,15 - 30,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,9,Second Player,Second Player,,4 - 5,4,15 - 40,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,10,First Player,First Player,,5 - 5,1,0 - 15,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,10,First Player,First Player,,5 - 5,2,0 - 30,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,10,First Player,First Player,,5 - 5,3,15 - 30,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,10,First Player,First Player,,5 - 5,4,30 - 30,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,10,First Player,First Player,,5 - 5,5,40 - 30,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,11,Second Player,First Player,Second Player,6 - 5,1,0 - 15,,,,2026-01-11 16:13:00
12006806,2025-01-14,Set 1,11,Second Player,First Player,Second Player,6 - 5,2,15 - 15,,,,2026-01-11 16:13:00
