results_for_player_key,event_key,event_date,event_time,event_first_player,first_player_key,event_second_player,second_player_key,event_final_result,event_game_result,event_serve,event_winner,event_status,event_type_type,tournament_name,tournament_key,tournament_round,tournament_season,event_live,event_qualification,event_first_player_logo,event_second_player_logo,download_time
1895,12006806,2025-01-14,03:30,F. Cerundolo,1104,A. Bublik,1895,3 - 0,-,,First Player,Finished,Atp Singles,Australian Open,1236,Australian Open - 1/64-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/1104_f-cerundolo.jpg,https://api.api-tennis.com/logo-tennis/1895_a-bublik.jpg,2026-01-11 16:13:00
1895,12010192,2025-01-29,20:45,A. Bublik,1895,D. Koepfer,2830,2 - 0,-,,First Player,Finished,Atp Singles,Montpellier,1844,Montpellier - 1/8-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/1895_a-bublik.jpg,https://api.api-tennis.com/logo-tennis/2830_d-koepfer.jpg,2026-01-11 16:13:00
1895,12010727,2025-01-31,19:45,A. Bublik,1895,A. Kovacevic,2978,0 - 2,-,,Second Player,Finished,Atp Singles,Montpellier,1844,Montpellier - Quarter-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/1895_a-bublik.jpg,https://api.api-tennis.com/logo-tennis/2978_a-kovacevic.jpg,2026-01-11 16:13:00
1895,12011102,2025-02-04,14:05,A. Bublik,1895,J. Mensik,902,0 - 2,-,,Second Player,Finished,Atp Singles,Rotterdam,1855,Rotterdam - 1/16-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/1895_a-bublik.jpg,https://api.api-tennis.com/logo-tennis/902_j-mensik.jpg,2026-01-11 16:13:00
1895,12012472,2025-02-11,13:40,A. Bublik,1895,R. Gasquet,1094,2 - 0,-,,First Player,Finished,Atp Singles,Marseille,1867,Marseille - 1/16-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/1895_a-bublik.jpg,https://api.api-tennis.com/logo-tennis/1094_r-gasquet.jpg,2026-01-11 16:13:00
1895,12013075,2025-02-12,19:55,A. Bublik,1895,U. Humbert,1105,0 - 2,-,,Second Player,Finished,Atp Singles,Marseille,1867,Marseille - 1/8-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/1895_a-bublik.jpg,https://api.api-tennis.com/logo-tennis/1105_u-humbert.jpg,2026-01-11 16:13:00
1895,12013790,2025-02-18,14:35,A. Rublev,2847,A. Bublik,1895,2 - 0,-,,First Player,Finished,Atp Singles,Doha,1805,Doha - 1/16-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/2847_a-rublev.jpg,https://api.api-tennis.com/logo-tennis/1895_a-bublik.jpg,2026-01-11 16:13:00
1895,12015185,2025-02-25,12:30,A. Bublik,1895,F. Auger-Aliassime,2073,1 - 2,-,,Second Player,Finished,Atp Singles,Dubai,1249,Dubai - 1/16-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/1895_a-bublik.jpg,https://api.api-tennis.com/logo-tennis/2073_f-auger-aliassime.jpg,2026-01-11 16:13:00
1895,12017690,2025-03-06,05:05,A. Bublik,1895,Y. Watanuki,1097,1 - 2,-,,Second Player,Finished,Atp Singles,Indian Wells,1903,Indian Wells - 1/64-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/1895_a-bublik.jpg,https://api.api-tennis.com/logo-tennis/1097_y-watanuki.jpg,2026-01-11 16:13:00
1895,12018466,2025-03-12,23:30,A. Bublik,1895,A. Vukic,360,2 - 1,-,,First Player,Finished,Challenger Men Singles,Phoenix,3113,Phoenix - 1/16-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/1895_a-bublik.jpg,https://api.api-tennis.com/logo-tennis/360_a-vukic.jpg,2026-01-11 16:13:00
1895,12019647,2025-03-13,20:15,R. Hijikata,3317,A. Bublik,1895,1 - 2,-,,Second Player,Finished,Challenger Men Singles,Phoenix,3113,Phoenix - 1/8-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/3317_r-hijikata.jpg,https://api.api-tennis.com/logo-tennis/1895_a-bublik.jpg,2026-01-11 16:13:00
1895,12019851,2025-03-14,20:40,C. Moutet,2674,A. Bublik,1895,1 - 2,-,,Second Player,Finished,Challenger Men Singles,Phoenix,3113,Phoenix - Quarter-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/2674_c-moutet.jpg,https://api.api-tennis.com/logo-tennis/1895_a-bublik.jpg,2026-01-11 16:13:00
1895,12019979,2025-03-15,21:35,N. Borges,358,A. Bublik,1895,0 - 2,-,,Second Player,Finished,Challenger Men Singles,Phoenix,3113,Phoenix - Semi-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/358_n-borges.jpg,https://api.api-tennis.com/logo-tennis/1895_a-bublik.jpg,2026-01-11 16:13:00
1895,12020124,2025-03-16,22:15,A. Bublik,1895,J. Fonseca,40058,0 - 2,-,,Second Player,Finished,Challenger Men Singles,Phoenix,3113,Phoenix - Final,2025,0,False,https://api.api-tennis.com/logo-tennis/1895_a-bublik.jpg,https://api.api-tennis.com/logo-tennis/40058_j-fonseca.jpg,2026-01-11 16:13:00
1895,12020680,2025-03-19,16:10,A. Bublik,1895,S. Baez,1101,2 - 0,-,,First Player,Finished,Atp Singles,Miami,1928,Miami - 1/64-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/1895_a-bublik.jpg,https://api.api-tennis.com/logo-tennis/1101_s-baez.jpg,2026-01-11 16:13:00
1895,12021578,2025-03-22,00:55,A. Bublik,1895,T. Paul,1894,1 - 2,-,,Second Player,Finished,Atp Singles,Miami,1928,Miami - 1/32-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/1895_a-bublik.jpg,https://api.api-tennis.com/logo-tennis/1894_t-paul.jpg,2026-01-11 16:13:00
1895,12025260,2025-04-05,17:00,D. Lajovic,2675,A. Bublik,1895,2 - 1,-,,First Player,Finished,Atp Singles,Monte Carlo,1970,Monte Carlo - Semi-finals,2025,0,True,https://api.api-tennis.com/logo-tennis/2675_d-lajovic.jpg,https://api.api-tennis.com/logo-tennis/1895_a-bublik.jpg,2026-01-11 16:13:00
1895,12026682,2025-04-12,15:10,A. Bublik,1895,A. Ritschard,408,2 - 0,-,,First Player,Finished,Atp Singles,Munich,1264,Munich - Semi-finals,2025,0,True,https://api.api-tennis.com/logo-tennis/1895_a-bublik.jpg,https://api.api-tennis.com/logo-tennis/408_a-ritschard.jpg,2026-01-11 16:13:00
1895,12026898,2025-04-13,12:40,A. Bublik,1895,D. Dedura,55858,2 - 0,-,,First Player,Finished,Atp Singles,Munich,1264,Munich - Final,2025,0,True,https://api.api-tennis.com/logo-tennis/1895_a-bublik.jpg,https://api.api-tennis.com/logo-tennis/55858_d-dedura-palomero.jpg,2026-01-11 16:13:00
1895,12027151,2025-04-15,16:55,Z. Bergs,1064,A. Bublik,1895,2 - 1,-,,First Player,Finished,Atp Singles,Munich,1264,Munich - 1/16-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/1064_z-bergs.jpg,https://api.api-tennis.com/logo-tennis/1895_a-bublik.jpg,2026-01-11 16:13:00
1895,12028546,2025-04-23,18:35,A. Michelsen,10884,A. Bublik,1895,0 - 2,-,,Second Player,Finished,Atp Singles,Madrid,2004,Madrid - 1/64-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/10884_a-michelsen.jpg,https://api.api-tennis.com/logo-tennis/1895_a-bublik.jpg,2026-01-11 16:13:00
1895,12029461,2025-04-25,12:55,A. Popyrin,1926,A. Bublik,1895,0 - 2,-,,Second Player,Finished,Atp Singles,Madrid,2004,Madrid - 1/32-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/1926_al-popyrin.jpg,https://api.api-tennis.com/logo-tennis/1895_a-bublik.jpg,2026-01-11 16:13:00
