event_key,event_date,score_first,score_second,score_set,download_time
12006834,2025-01-12,6,3,1,2026-01-11 16:03:58
12006834,2025-01-12,1,6,2,2026-01-11 16:03:58
12006834,2025-01-12,7,5,3,2026-01-11 16:03:58
12006834,2025-01-12,2,6,4,2026-01-11 16:03:58
12006834,2025-01-12,6,1,5,2026-01-11 16:03:58
12011296,2025-02-05,7,5,1,2026-01-11 16:03:58
12011296,2025-02-05,6,2,2,2026-01-11 16:03:58
12011296,2025-02-05,0,0,3,2026-01-11 16:03:58
12011296,2025-02-05,0,0,4,2026-01-11 16:03:58
12011296,2025-02-05,0,0,5,2026-01-11 16:03:58
12011965,2025-02-06,6,2,1,2026-01-11 16:03:58
12011965,2025-02-06,7.7,6.3,2,2026-01-11 16:03:58
12011965,2025-02-06,0,0,3,2026-01-11 16:03:58
12011965,2025-02-06,0,0,4,2026-01-11 16:03:58
12011965,2025-02-06,0,0,5,2026-01-11 16:03:58
12012222,2025-02-07,4,6,1,2026-01-11 16:03:58
12012222,2025-02-07,6,3,2,2026-01-11 16:03:58
12012222,2025-02-07,3,6,3,2026-01-11 16:03:58
12012222,2025-02-07,0,0,4,2026-01-11 16:03:58
12012222,2025-02-07,0,0,5,2026-01-11 16:03:58
12012330,2025-02-08,2,6,1,2026-01-11 16:03:58
12012330,2025-02-08,6,2,2,2026-01-11 16:03:58
12012330,2025-02-08,6.4,7.7,3,2026-01-11 16:03:58
12012330,2025-02-08,0,0,4,2026-01-11 16:03:58
12012330,2025-02-08,0,0,5,2026-01-11 16:03:58
12012460,2025-02-12,0,0,1,2026-01-11 16:03:58
12012460,2025-02-12,0,0,2,2026-01-11 16:03:58
12012460,2025-02-12,0,0,3,2026-01-11 16:03:58
12012460,2025-02-12,0,0,4,2026-01-11 16:03:58
12012460,2025-02-12,0,0,5,2026-01-11 16:03:58
12013881,2025-02-18,6,4,1,2026-01-11 16:03:58
12013881,2025-02-18,3,6,2,2026-01-11 16:03:58
12013881,2025-02-18,6,0,3,2026-01-11 16:03:58
12013881,2025-02-18,0,0,4,2026-01-11 16:03:58
12013881,2025-02-18,0,0,5,2026-01-11 16:03:58
12014603,2025-02-20,4,6,1,2026-01-11 16:03:58
12014603,2025-02-20,6,2,2,2026-01-11 16:03:58
12014603,2025-02-20,3,6,3,2026-01-11 16:03:58
12014603,2025-02-20,0,0,4,2026-01-11 16:03:58
12014603,2025-02-20,0,0,5,2026-01-11 16:03:58
12017388,2025-03-05,2,6,1,2026-01-11 16:03:58
