event_key,event_date,score_first,score_second,score_set,download_time
12017388,2025-03-05,7,5,2,2026-01-11 16:03:58
12017388,2025-03-05,6.3,7.7,3,2026-01-11 16:03:58
12017388,2025-03-05,0,0,4,2026-01-11 16:03:58
12017388,2025-03-05,0,0,5,2026-01-11 16:03:58
12020691,2025-03-19,3,6,1,2026-01-11 16:03:58
12020691,2025-03-19,6.5,7.7,2,2026-01-11 16:03:58
12020691,2025-03-19,0,0,3,2026-01-11 16:03:58
12020691,2025-03-19,0,0,4,2026-01-11 16:03:58
12020691,2025-03-19,0,0,5,2026-01-11 16:03:58
12021682,2025-03-21,2,6,1,2026-01-11 16:03:58
12021682,2025-03-21,3,6,2,2026-01-11 16:03:58
12021682,2025-03-21,0,0,3,2026-01-11 16:03:58
12021682,2025-03-21,0,0,4,2026-01-11 16:03:58
12021682,2025-03-21,0,0,5,2026-01-11 16:03:58
12022033,2025-03-23,5,7,1,2026-01-11 16:03:58
12022033,2025-03-23,7,5,2,2026-01-11 16:03:58
12022033,2025-03-23,6.1,7.7,3,2026-01-11 16:03:58
12022033,2025-03-23,0,0,4,2026-01-11 16:03:58
12022033,2025-03-23,0,0,5,2026-01-11 16:03:58
12024207,2025-04-01,6,4,1,2026-01-11 16:03:58
12024207,2025-04-01,6,3,2,2026-01-11 16:03:58
12024207,2025-04-01,0,0,3,2026-01-11 16:03:58
12024207,2025-04-01,0,0,4,2026-01-11 16:03:58
12024207,2025-04-01,0,0,5,2026-01-11 16:03:58
12025251,2025-04-05,5,7,1,2026-01-11 16:03:58
12025251,2025-04-05,6,3,2,2026-01-11 16:03:58
12025251,2025-04-05,5,7,3,2026-01-11 16:03:58
12025251,2025-04-05,0,0,4,2026-01-11 16:03:58
12025251,2025-04-05,0,0,5,2026-01-11 16:03:58
12026829,2025-04-14,0,0,1,2026-01-11 16:03:58
12026829,2025-04-14,0,0,2,2026-01-11 16:03:58
12026829,2025-04-14,0,0,3,2026-01-11 16:03:58
12026829,2025-04-14,0,0,4,2026-01-11 16:03:58
12026829,2025-04-14,0,0,5,2026-01-11 16:03:58
12027149,2025-04-15,6,2,1,2026-01-11 16:03:58
12027149,2025-04-15,5,7,2,2026-01-11 16:03:58
12027149,2025-04-15,1,6,3,2026-01-11 16:03:58
12027149,2025-04-15,0,0,4,2026-01-11 16:03:58
12027149,2025-04-15,0,0,5,2026-01-11 16:03:58
12027647,2025-04-17,5,7,1,2026-01-11 16:03:58
12027647,2025-04-17,4,6,2,2026-01-11 16:03:58
12027647,2025-04-17,0,0,3,2026-01-11 16:03:58
12027647,2025-04-17,0,0,4,2026-01-11 16:03:58
12027647,2025-04-17,0,0,5,2026-01-11 16:03:58
12028533,2025-04-23,6,4,1,2026-01-11 16:03:58
12028533,2025-04-23,2,6,2,2026-01-11 16:03:58
12028533,2025-04-23,6,3,3,2026-01-11 16:03:58
12028533,2025-04-23,0,0,4,2026-01-11 16:03:58
12028533,2025-04-23,0,0,5,2026-01-11 16:03:58
12030906,2025-05-01,6.2,7.7,1,2026-01-11 16:03:58
12030906,2025-05-01,2,6,2,2026-01-11 16:03:58
12030906,2025-05-01,0,0,3,2026-01-11 16:03:58
12030906,2025-05-01,0,0,4,2026-01-11 16:03:58
12030906,2025-05-01,0,0,5,2026-01-11 16:03:58
12032310,2025-05-08,6,4,1,2026-01-11 16:03:58
12032310,2025-05-08,2,6,2,2026-01-11 16:03:58
12032310,2025-05-08,5,7,3,2026-01-11 16:03:58
12032310,2025-05-08,0,0,4,2026-01-11 16:03:58
12032310,2025-05-08,0,0,5,2026-01-11 16:03:58
12032852,2025-05-10,2,6,1,2026-01-11 16:03:58
12032852,2025-05-10,1,6,2,2026-01-11 16:03:58
12032852,2025-05-10,0,0,3,2026-01-11 16:03:58
12032852,2025-05-10,0,0,4,2026-01-11 16:03:58
12032852,2025-05-10,0,0,5,2026-01-11 16:03:58
12033039,2025-05-12,6,4,1,2026-01-11 16:03:58
12033039,2025-05-12,6,2,2,2026-01-11 16:03:58
12033039,2025-05-12,0,0,3,2026-01-11 16:03:58
12033039,2025-05-12,0,0,4,2026-01-11 16:03:58
12033039,2025-05-12,0,0,5,2026-01-11 16:03:58
12033453,2025-05-14,3,6,1,2026-01-11 16:03:58
12033453,2025-05-14,4,6,2,2026-01-11 16:03:58
12033453,2025-05-14,0,0,3,2026-01-11 16:03:58
12033453,2025-05-14,0,0,4,2026-01-11 16:03:58
12033453,2025-05-14,0,0,5,2026-01-11 16:03:58
12034954,2025-05-19,6,4,1,2026-01-11 16:03:58
12034954,2025-05-19,3,6,2,2026-01-11 16:03:58
12034954,2025-05-19,6.5,7.7,3,2026-01-11 16:03:58
12034954,2025-05-19,0,0,4,2026-01-11 16:03:58
12034954,2025-05-19,0,0,5,2026-01-11 16:03:58
12036768,2025-05-26,4,6,1,2026-01-11 16:03:58
12036768,2025-05-26,1,6,2,2026-01-11 16:03:58
12036768,2025-05-26,5,7,3,2026-01-11 16:03:58
12036768,2025-05-26,0,0,4,2026-01-11 16:03:58
12036768,2025-05-26,0,0,5,2026-01-11 16:03:58
12037468,2025-05-29,6.3,7.7,1,2026-01-11 16:03:58
12037468,2025-05-29,6.4,7.7,2,2026-01-11 16:03:58
12037468,2025-05-29,6,2,3,2026-01-11 16:03:58
12037468,2025-05-29,6,0,4,2026-01-11 16:03:58
12037468,2025-05-29,4,6,5,2026-01-11 16:03:58
12043521,2025-06-17,5,7,1,2026-01-11 16:03:58
12043521,2025-06-17,0,0,2,2026-01-11 16:03:58
12043521,2025-06-17,0,0,3,2026-01-11 16:03:58
12043521,2025-06-17,0,0,4,2026-01-11 16:03:58
12043521,2025-06-17,0,0,5,2026-01-11 16:03:58
12044725,2025-06-19,6,4,1,2026-01-11 16:03:58
12044725,2025-06-19,6.7,7.9,2,2026-01-11 16:03:58
12044725,2025-06-19,7,5,3,2026-01-11 16:03:58
12044725,2025-06-19,0,0,4,2026-01-11 16:03:58
12044725,2025-06-19,0,0,5,2026-01-11 16:03:58
12045884,2025-06-23,7,5,1,2026-01-11 16:03:58
12045884,2025-06-23,6,3,2,2026-01-11 16:03:58
12045884,2025-06-23,0,0,3,2026-01-11 16:03:58
12045884,2025-06-23,0,0,4,2026-01-11 16:03:58
12045884,2025-06-23,0,0,5,2026-01-11 16:03:58
12047761,2025-07-01,6,4,1,2026-01-11 16:03:58
12047761,2025-07-01,3,6,2,2026-01-11 16:03:58
12047761,2025-07-01,4,6,3,2026-01-11 16:03:58
12047761,2025-07-01,7.7,6.5,4,2026-01-11 16:03:58
12047761,2025-07-01,6,2,5,2026-01-11 16:03:58
12048958,2025-07-03,2,6,1,2026-01-11 16:03:58
12048958,2025-07-03,3,6,2,2026-01-11 16:03:58
12048958,2025-07-03,6.9,7.11,3,2026-01-11 16:03:58
12048958,2025-07-03,0,0,4,2026-01-11 16:03:58
12048958,2025-07-03,0,0,5,2026-01-11 16:03:58
12049560,2025-07-05,6,3,1,2026-01-11 16:03:58
12049560,2025-07-05,3,6,2,2026-01-11 16:03:58
12049560,2025-07-05,6,2,3,2026-01-11 16:03:58
12049560,2025-07-05,6,4,4,2026-01-11 16:03:58
12049560,2025-07-05,0,0,5,2026-01-11 16:03:58
12054502,2025-07-22,7,5,1,2026-01-11 16:03:58
12054502,2025-07-22,6,3,2,2026-01-11 16:03:58
12054502,2025-07-22,0,0,3,2026-01-11 16:03:58
12054502,2025-07-22,0,0,4,2026-01-11 16:03:58
12054502,2025-07-22,0,0,5,2026-01-11 16:03:58
12055338,2025-07-24,6,4,1,2026-01-11 16:03:58
12055338,2025-07-24,6,2,2,2026-01-11 16:03:58
12055338,2025-07-24,0,0,3,2026-01-11 16:03:58
12055338,2025-07-24,0,0,4,2026-01-11 16:03:58
12055338,2025-07-24,0,0,5,2026-01-11 16:03:58
12056418,2025-07-28,3,6,1,2026-01-11 16:03:58
12056418,2025-07-28,0,6,2,2026-01-11 16:03:58
12056418,2025-07-28,0,0,3,2026-01-11 16:03:58
12056418,2025-07-28,0,0,4,2026-01-11 16:03:58
12056418,2025-07-28,0,0,5,2026-01-11 16:03:58
12056573,2025-07-29,6.4,7.7,1,2026-01-11 16:03:58
12056573,2025-07-29,6,4,2,2026-01-11 16:03:58
12056573,2025-07-29,4,6,3,2026-01-11 16:03:58
12056573,2025-07-29,0,0,4,2026-01-11 16:03:58
12056573,2025-07-29,0,0,5,2026-01-11 16:03:58
12059531,2025-08-08,6,4,1,2026-01-11 16:03:58
12059531,2025-08-08,6,4,2,2026-01-11 16:03:58
12059531,2025-08-08,0,0,3,2026-01-11 16:03:58
12059531,2025-08-08,0,0,4,2026-01-11 16:03:58
12059531,2025-08-08,0,0,5,2026-01-11 16:03:58
12063302,2025-08-20,3,6,1,2026-01-11 16:03:58
12063302,2025-08-20,1,6,2,2026-01-11 16:03:58
12063302,2025-08-20,0,0,3,2026-01-11 16:03:58
12063302,2025-08-20,0,0,4,2026-01-11 16:03:58
12063302,2025-08-20,0,0,5,2026-01-11 16:03:58
12063699,2025-08-21,6,4,1,2026-01-11 16:03:58
12063699,2025-08-21,4,6,2,2026-01-11 16:03:58
12063699,2025-08-21,1,6,3,2026-01-11 16:03:58
12063699,2025-08-21,0,0,4,2026-01-11 16:03:58
12063699,2025-08-21,0,0,5,2026-01-11 16:03:58
12063978,2025-08-21,5,7,1,2026-01-11 16:03:58
12063978,2025-08-21,3,6,2,2026-01-11 16:03:58
12063978,2025-08-21,0,0,3,2026-01-11 16:03:58
12063978,2025-08-21,0,0,4,2026-01-11 16:03:58
12063978,2025-08-21,0,0,5,2026-01-11 16:03:58
12064409,2025-08-25,6,0,1,2026-01-11 16:03:58
12064409,2025-08-25,6,3,2,2026-01-11 16:03:58
12064409,2025-08-25,5,7,3,2026-01-11 16:03:58
12064409,2025-08-25,6,2,4,2026-01-11 16:03:58
12064409,2025-08-25,0,0,5,2026-01-11 16:03:58
12065123,2025-08-28,5,7,1,2026-01-11 16:03:58
12065123,2025-08-28,3,6,2,2026-01-11 16:03:58
12065123,2025-08-28,5,7,3,2026-01-11 16:03:58
12065123,2025-08-28,0,0,4,2026-01-11 16:03:58
12065123,2025-08-28,0,0,5,2026-01-11 16:03:58
12066144,2025-08-30,6,1,1,2026-01-11 16:03:58
12066144,2025-08-30,6,4,2,2026-01-11 16:03:58
12066144,2025-08-30,6,4,3,2026-01-11 16:03:58
12066144,2025-08-30,0,0,4,2026-01-11 16:03:58
12066144,2025-08-30,0,0,5,2026-01-11 16:03:58
12066433,2025-09-01,6,3,1,2026-01-11 16:03:58
12066433,2025-09-01,6,0,2,2026-01-11 16:03:58
12066433,2025-09-01,6,1,3,2026-01-11 16:03:58
12066433,2025-09-01,0,0,4,2026-01-11 16:03:58
12066433,2025-09-01,0,0,5,2026-01-11 16:03:58
12070767,2025-09-13,6,2,1,2026-01-11 16:03:58
12070767,2025-09-13,1,6,2,2026-01-11 16:03:58
12070767,2025-09-13,4,6,3,2026-01-11 16:03:58
12070767,2025-09-13,0,0,4,2026-01-11 16:03:58
12070767,2025-09-13,0,0,5,2026-01-11 16:03:58
12073119,2025-09-24,4,6,1,2026-01-11 16:03:58
12073119,2025-09-24,2,6,2,2026-01-11 16:03:58
12073119,2025-09-24,0,0,3,2026-01-11 16:03:58
12073119,2025-09-24,0,0,4,2026-01-11 16:03:58
12073119,2025-09-24,0,0,5,2026-01-11 16:03:58
12075146,2025-10-01,4,6,1,2026-01-11 16:03:58
12075146,2025-10-01,7,5,2,2026-01-11 16:03:58
12075146,2025-10-01,6,1,3,2026-01-11 16:03:58
12075146,2025-10-01,0,0,4,2026-01-11 16:03:58
12075146,2025-10-01,0,0,5,2026-01-11 16:03:58
12075943,2025-10-03,7,5,1,2026-01-11 16:03:58
12075943,2025-10-03,6,1,2,2026-01-11 16:03:58
12075943,2025-10-03,0,0,3,2026-01-11 16:03:58
12075943,2025-10-03,0,0,4,2026-01-11 16:03:58
12075943,2025-10-03,0,0,5,2026-01-11 16:03:58
12076584,2025-10-05,4,6,1,2026-01-11 16:03:58
12076584,2025-10-05,7,5,2,2026-01-11 16:03:58
12076584,2025-10-05,1,6,3,2026-01-11 16:03:58
12076584,2025-10-05,0,0,4,2026-01-11 16:03:58
12076584,2025-10-05,0,0,5,2026-01-11 16:03:58
12076952,2025-10-07,3,6,1,2026-01-11 16:03:58
12076952,2025-10-07,7,5,2,2026-01-11 16:03:58
12076952,2025-10-07,2,6,3,2026-01-11 16:03:58
12076952,2025-10-07,0,0,4,2026-01-11 16:03:58
12076952,2025-10-07,0,0,5,2026-01-11 16:03:58
12080383,2025-10-20,2,6,1,2026-01-11 16:03:58
12080383,2025-10-20,4,6,2,2026-01-11 16:03:58
12080383,2025-10-20,0,0,3,2026-01-11 16:03:58
12080383,2025-10-20,0,0,4,2026-01-11 16:03:58
12080383,2025-10-20,0,0,5,2026-01-11 16:03:58
12081429,2025-10-23,6,3,1,2026-01-11 16:03:58
12081429,2025-10-23,6,4,2,2026-01-11 16:03:58
12081429,2025-10-23,0,0,3,2026-01-11 16:03:58
12081429,2025-10-23,0,0,4,2026-01-11 16:03:58
12081429,2025-10-23,0,0,5,2026-01-11 16:03:58
12081986,2025-10-24,3,6,1,2026-01-11 16:03:58
12081986,2025-10-24,0,0,2,2026-01-11 16:03:58
12081986,2025-10-24,0,0,3,2026-01-11 16:03:58
12081986,2025-10-24,0,0,4,2026-01-11 16:03:58
12081986,2025-10-24,0,0,5,2026-01-11 16:03:58
12082228,2025-10-25,7.7,6.4,1,2026-01-11 16:03:58
12082228,2025-10-25,7,5,2,2026-01-11 16:03:58
12082291,2025-10-28,1,6,1,2026-01-11 16:03:58
12082291,2025-10-28,3,6,2,2026-01-11 16:03:58
12089824,2025-11-20,6,3,1,2026-01-11 16:03:58
12089824,2025-11-20,6,4,2,2026-01-11 16:03:58
12090180,2025-11-22,6.2,7.7,1,2026-01-11 16:03:58
12090180,2025-11-22,6.5,7.7,2,2026-01-11 16:03:58
12090393,2025-11-23,1,6,1,2026-01-11 16:03:58
12090393,2025-11-23,7.7,6.5,2,2026-01-11 16:03:58
12090393,2025-11-23,7,5,3,2026-01-11 16:03:58
12093889,2026-01-02,4,6,1,2026-01-11 16:03:58
12093889,2026-01-02,4,6,2,2026-01-11 16:03:58
12093972,2026-01-05,7,6,1,2026-01-11 16:03:58
12093972,2026-01-05,3,6,2,2026-01-11 16:03:58
12093972,2026-01-05,7,6,3,2026-01-11 16:03:58
