event_key,event_date,score_first,score_second,score_set,download_time
12006802,2025-01-14,6.4,7.7,1,2026-01-11 16:12:59
12006802,2025-01-14,6,4,2,2026-01-11 16:12:59
12006802,2025-01-14,6.5,7.7,3,2026-01-11 16:12:59
12006802,2025-01-14,3,6,4,2026-01-11 16:12:59
12006802,2025-01-14,0,0,5,2026-01-11 16:12:59
12007657,2025-01-16,6.3,7.7,1,2026-01-11 16:12:59
12007657,2025-01-16,6.6,7.8,2,2026-01-11 16:12:59
12007657,2025-01-16,2,6,3,2026-01-11 16:12:59
12007657,2025-01-16,0,0,4,2026-01-11 16:12:59
12007657,2025-01-16,0,0,5,2026-01-11 16:12:59
12008020,2025-01-18,6,3,1,2026-01-11 16:12:59
12008020,2025-01-18,3,6,2,2026-01-11 16:12:59
12008020,2025-01-18,6,4,3,2026-01-11 16:12:59
12008020,2025-01-18,7.7,6.5,4,2026-01-11 16:12:59
12008020,2025-01-18,0,0,5,2026-01-11 16:12:59
12013448,2025-02-14,6,2,1,2026-01-11 16:12:59
12013448,2025-02-14,6,3,2,2026-01-11 16:12:59
12013448,2025-02-14,0,0,3,2026-01-11 16:12:59
12013448,2025-02-14,0,0,4,2026-01-11 16:12:59
12013448,2025-02-14,0,0,5,2026-01-11 16:12:59
12013630,2025-02-15,0,0,1,2026-01-11 16:12:59
12013630,2025-02-15,0,0,2,2026-01-11 16:12:59
12013630,2025-02-15,0,0,3,2026-01-11 16:12:59
12013630,2025-02-15,0,0,4,2026-01-11 16:12:59
12013630,2025-02-15,0,0,5,2026-01-11 16:12:59
12014014,2025-02-18,0,0,1,2026-01-11 16:12:59
12014014,2025-02-18,0,0,2,2026-01-11 16:12:59
12014014,2025-02-18,0,0,3,2026-01-11 16:12:59
12014014,2025-02-18,0,0,4,2026-01-11 16:12:59
12014014,2025-02-18,0,0,5,2026-01-11 16:12:59
12017978,2025-03-08,5,7,1,2026-01-11 16:12:59
12017978,2025-03-08,7,5,2,2026-01-11 16:12:59
12017978,2025-03-08,2,6,3,2026-01-11 16:12:59
12017978,2025-03-08,0,0,4,2026-01-11 16:12:59
12017978,2025-03-08,0,0,5,2026-01-11 16:12:59
12018262,2025-03-10,3,6,1,2026-01-11 16:12:59
12018262,2025-03-10,7.7,6.4,2,2026-01-11 16:12:59
12018262,2025-03-10,6,3,3,2026-01-11 16:12:59
