results_for_player_key,event_key,event_date,event_time,event_first_player,first_player_key,event_second_player,second_player_key,event_final_result,event_game_result,event_serve,event_winner,event_status,event_type_type,tournament_name,tournament_key,tournament_round,tournament_season,event_live,event_qualification,event_first_player_logo,event_second_player_logo,download_time
,12099917,2026-02-02,06:00,Ja. Delaney,7078,T. Daniel,2406,-,-,,,1,Challenger Men Singles,Brisbane,12207,Brisbane - 1/16-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/7078_ja-delaney.jpg,https://api.api-tennis.com/logo-tennis/2406_t-daniel.jpg,2026-02-01 15:47:17
,12099920,2026-02-02,04:00,H. Moriya,3202,Y. Uchiyama,884,-,-,,,1,Challenger Men Singles,Brisbane,12207,Brisbane - 1/16-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/3202_h-moriya.jpg,https://api.api-tennis.com/logo-tennis/884_y-uchiyama.jpg,2026-02-01 15:47:17
,12099922,2026-02-02,04:00,R. Sakamoto,37897,P. Sekulic,3316,-,-,,,1,Challenger Men Singles,Brisbane,12207,Brisbane - 1/16-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/37897_r-sakamoto.jpg,https://api.api-tennis.com/logo-tennis/3316_p-sekulic.jpg,2026-02-01 15:47:17
,12099923,2026-02-02,04:00,Y. Shimizu,2100,R. Tokuda,5212,-,-,,,1,Challenger Men Singles,Brisbane,12207,Brisbane - 1/16-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/2100_y-shimizu.jpg,https://api.api-tennis.com/logo-tennis/5212_r-tokuda.jpg,2026-02-01 15:47:17
,12099938,2026-02-02,10:00,N. Basilashvili,424,L. Nardi,386,-,-,,,1,Atp Singles,Montpellier,1844,ATP Montpellier - 1/16-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/424_n-basilashvili.jpg,https://api.api-tennis.com/logo-tennis/386_l-nardi.jpg,2026-02-01 15:47:17
,12099939,2026-02-02,10:00,R. Bautista-Agut,2734,C. O'Connell,421,-,-,,,1,Atp Singles,Montpellier,1844,ATP Montpellier - 1/16-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/2734_r-bautista-agut.jpg,https://api.api-tennis.com/logo-tennis/421_c-oaposconnell.jpg,2026-02-01 15:47:17
,12099940,2026-02-02,10:00,A. Gea,9210,G. Mpetshi Perricard,9222,-,-,,,1,Atp Singles,Montpellier,1844,ATP Montpellier - 1/16-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/9210_a-gea.jpg,https://api.api-tennis.com/logo-tennis/9222_g-mpetshi-perricard.jpg,2026-02-01 15:47:17
,12099941,2026-02-02,10:00,U. Humbert,1105,B. Van De Zandschulp,2972,-,-,,,1,Atp Singles,Montpellier,1844,ATP Montpellier - 1/16-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/1105_u-humbert.jpg,https://api.api-tennis.com/logo-tennis/2972_b-van-de-zandschulp.jpg,2026-02-01 15:47:17
,12099942,2026-02-02,10:00,M. Kecmanovic,2848,P. Carreno-Busta,434,-,-,,,1,Atp Singles,Montpellier,1844,ATP Montpellier - 1/16-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/2848_m-kecmanovic.jpg,https://api.api-tennis.com/logo-tennis/434_p-carreno-busta.jpg,2026-02-01 15:47:17
,12099943,2026-02-02,10:00,P. Martinez,1775,A. Mannarino,438,-,-,,,1,Atp Singles,Montpellier,1844,ATP Montpellier - 1/16-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/1775_p-martinez.jpg,https://api.api-tennis.com/logo-tennis/438_a-mannarino.jpg,2026-02-01 15:47:17
,12099944,2026-02-02,10:00,M. McDonald,2839,A. Kovacevic,2978,-,-,,,1,Atp Singles,Montpellier,1844,ATP Montpellier - 1/16-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/2839_m-mcdonald.jpg,https://api.api-tennis.com/logo-tennis/2978_a-kovacevic.jpg,2026-02-01 15:47:17
,12099945,2026-02-02,10:00,H. Medjedovic,2677,S. Wawrinka,2168,-,-,,,1,Atp Singles,Montpellier,1844,ATP Montpellier - 1/16-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/2677_h-medjedovic.jpg,https://api.api-tennis.com/logo-tennis/2168_s-wawrinka.jpg,2026-02-01 15:47:17
,12099946,2026-02-02,10:00,V. Royer,954,A. Fils,1759,-,-,,,1,Atp Singles,Montpellier,1844,ATP Montpellier - 1/16-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/954_v-royer.jpg,https://api.api-tennis.com/logo-tennis/1759_a-fils.jpg,2026-02-01 15:47:17
,12099947,2026-02-02,08:00,P. Badosa,2178,J. Bouzas Maneiro,154,-,-,,,Cancelled,Wta Singles,WTA Abu Dhabi,3872,WTA Abu Dhabi - 1/16-finals,2026,0,False,https://api.api-tennis.com/logo-tennis/2178_p-badosa.jpg,https://api.api-tennis.com/logo-tennis/154_j-bouzas-maneiro.jpg,2026-02-01 15:47:17
,12099948,2026-02-02,15:30,A. Eala,3490,Z. Sonmez,4062,-,-,,,1,Wta Singles,WTA Abu Dhabi,3872,WTA Abu Dhabi - 1/16-finals,2026,0,False,https://api.api-tennis.com/logo-tennis/3490_a-eala.jpg,https://api.api-tennis.com/logo-tennis/4062_z-sonmez.jpg,2026-02-01 15:47:17
,12099949,2026-02-02,09:30,J. Tjen,28551,M. Joint,52689,-,-,,,1,Wta Singles,WTA Abu Dhabi,3872,WTA Abu Dhabi - 1/16-finals,2026,0,False,https://api.api-tennis.com/logo-tennis/28551_j-tjen.jpg,https://api.api-tennis.com/logo-tennis/52689_m-joint.jpg,2026-02-01 15:47:17
