event_key,event_date,score_first,score_second,score_set,download_time
12006807,2025-01-14,2,6,1,2026-01-11 16:03:57
12006807,2025-01-14,6,3,2,2026-01-11 16:03:57
12006807,2025-01-14,6.4,7.7,3,2026-01-11 16:03:57
12006807,2025-01-14,6,4,4,2026-01-11 16:03:57
12006807,2025-01-14,4,6,5,2026-01-11 16:03:57
12007627,2025-01-16,5,7,1,2026-01-11 16:03:57
12007627,2025-01-16,3,6,2,2026-01-11 16:03:57
12007627,2025-01-16,6.3,7.7,3,2026-01-11 16:03:57
12007627,2025-01-16,0,0,4,2026-01-11 16:03:57
12007627,2025-01-16,0,0,5,2026-01-11 16:03:57
12009661,2025-01-27,7.7,6.1,1,2026-01-11 16:03:57
12009661,2025-01-27,6,3,2,2026-01-11 16:03:57
12009661,2025-01-27,0,0,3,2026-01-11 16:03:57
12009661,2025-01-27,0,0,4,2026-01-11 16:03:57
12009661,2025-01-27,0,0,5,2026-01-11 16:03:57
12011000,2025-02-01,6,3,1,2026-01-11 16:03:57
12011000,2025-02-01,6,2,2,2026-01-11 16:03:57
12011000,2025-02-01,0,0,3,2026-01-11 16:03:57
12011000,2025-02-01,0,0,4,2026-01-11 16:03:57
12011000,2025-02-01,0,0,5,2026-01-11 16:03:57
12011168,2025-02-02,6.3,7.7,1,2026-01-11 16:03:57
12011168,2025-02-02,4,6,2,2026-01-11 16:03:57
12011168,2025-02-02,0,0,3,2026-01-11 16:03:57
12011168,2025-02-02,0,0,4,2026-01-11 16:03:57
12011168,2025-02-02,0,0,5,2026-01-11 16:03:57
12011915,2025-02-05,6,1,1,2026-01-11 16:03:57
12011915,2025-02-05,4,6,2,2026-01-11 16:03:57
12011915,2025-02-05,3,6,3,2026-01-11 16:03:57
12011915,2025-02-05,0,0,4,2026-01-11 16:03:57
12011915,2025-02-05,0,0,5,2026-01-11 16:03:57
12011921,2025-02-06,4,6,1,2026-01-11 16:03:57
12011921,2025-02-06,6,3,2,2026-01-11 16:03:57
12011921,2025-02-06,5,7,3,2026-01-11 16:03:57
12011921,2025-02-06,0,0,4,2026-01-11 16:03:57
12011921,2025-02-06,0,0,5,2026-01-11 16:03:57
12012143,2025-02-07,1,6,1,2026-01-11 16:03:57
12012143,2025-02-07,4,6,2,2026-01-11 16:03:57
12012143,2025-02-07,0,0,3,2026-01-11 16:03:57
12012143,2025-02-07,0,0,4,2026-01-11 16:03:57
12012143,2025-02-07,0,0,5,2026-01-11 16:03:57
12012474,2025-02-11,2,6,1,2026-01-11 16:03:57
12012474,2025-02-11,2,6,2,2026-01-11 16:03:57
12012474,2025-02-11,0,0,3,2026-01-11 16:03:57
12012474,2025-02-11,0,0,4,2026-01-11 16:03:57
12012474,2025-02-11,0,0,5,2026-01-11 16:03:57
12013062,2025-02-12,6,4,1,2026-01-11 16:03:57
12013062,2025-02-12,6,3,2,2026-01-11 16:03:57
12013062,2025-02-12,0,0,3,2026-01-11 16:03:57
12013062,2025-02-12,0,0,4,2026-01-11 16:03:57
12013062,2025-02-12,0,0,5,2026-01-11 16:03:57
12013434,2025-02-14,7,5,1,2026-01-11 16:03:57
12013434,2025-02-14,6.7,7.9,2,2026-01-11 16:03:57
12013434,2025-02-14,6,4,3,2026-01-11 16:03:57
12013434,2025-02-14,0,0,4,2026-01-11 16:03:57
12013434,2025-02-14,0,0,5,2026-01-11 16:03:57
12015378,2025-02-25,4,6,1,2026-01-11 16:03:57
12015378,2025-02-25,6,4,2,2026-01-11 16:03:57
12015378,2025-02-25,6,3,3,2026-01-11 16:03:57
12015378,2025-02-25,0,0,4,2026-01-11 16:03:57
12015378,2025-02-25,0,0,5,2026-01-11 16:03:57
12015883,2025-02-27,6.3,7.7,1,2026-01-11 16:03:57
12015883,2025-02-27,1,6,2,2026-01-11 16:03:57
12015883,2025-02-27,0,0,3,2026-01-11 16:03:57
12015883,2025-02-27,0,0,4,2026-01-11 16:03:57
12015883,2025-02-27,0,0,5,2026-01-11 16:03:57
12016960,2025-03-03,5,7,1,2026-01-11 16:03:57
12016960,2025-03-03,4,6,2,2026-01-11 16:03:57
12016960,2025-03-03,0,0,3,2026-01-11 16:03:57
12016960,2025-03-03,0,0,4,2026-01-11 16:03:57
12016960,2025-03-03,0,0,5,2026-01-11 16:03:57
12018485,2025-03-12,2,6,1,2026-01-11 16:03:57
12018485,2025-03-12,7.7,6.4,2,2026-01-11 16:03:57
12018485,2025-03-12,2,6,3,2026-01-11 16:03:57
12018485,2025-03-12,0,0,4,2026-01-11 16:03:57
12018485,2025-03-12,0,0,5,2026-01-11 16:03:57
12019629,2025-03-13,2,6,1,2026-01-11 16:03:57
12019629,2025-03-13,7.14,6.12,2,2026-01-11 16:03:57
12019629,2025-03-13,3,6,3,2026-01-11 16:03:57
12019629,2025-03-13,0,0,4,2026-01-11 16:03:57
12019629,2025-03-13,0,0,5,2026-01-11 16:03:57
12019849,2025-03-14,6,4,1,2026-01-11 16:03:57
12019849,2025-03-14,4,6,2,2026-01-11 16:03:57
12019849,2025-03-14,3,6,3,2026-01-11 16:03:57
12019849,2025-03-14,0,0,4,2026-01-11 16:03:57
12019849,2025-03-14,0,0,5,2026-01-11 16:03:57
12020698,2025-03-20,6,4,1,2026-01-11 16:03:57
12020698,2025-03-20,6,3,2,2026-01-11 16:03:57
12020698,2025-03-20,0,0,3,2026-01-11 16:03:57
12020698,2025-03-20,0,0,4,2026-01-11 16:03:57
12020698,2025-03-20,0,0,5,2026-01-11 16:03:57
12023881,2025-04-01,2,6,1,2026-01-11 16:03:57
12023881,2025-04-01,6,4,2,2026-01-11 16:03:57
12023881,2025-04-01,6.3,7.7,3,2026-01-11 16:03:57
12023881,2025-04-01,0,0,4,2026-01-11 16:03:57
12023881,2025-04-01,0,0,5,2026-01-11 16:03:57
12025251,2025-04-05,5,7,1,2026-01-11 16:03:57
