event_key,event_date,set_number,number_game,player_served,serve_winner,serve_lost,game_score,number_point,point_score,break_point,set_point,match_point,download_time
12006834,2025-01-12,Set 1,4,Second Player,Second Player,,3 - 1,5,40 - 30,First Play,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 1,4,Second Player,Second Player,,3 - 1,6,40 - 40,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 1,4,Second Player,Second Player,,3 - 1,7,40 - A,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 1,4,Second Player,Second Player,,3 - 1,8,40 - 40,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 1,4,Second Player,Second Player,,3 - 1,9,40 - A,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 1,4,Second Player,Second Player,,3 - 1,10,40 - 40,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 1,4,Second Player,Second Player,,3 - 1,11,40 - A,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 1,5,First Player,First Player,,4 - 1,1,15 - 0,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 1,5,First Player,First Player,,4 - 1,2,30 - 0,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 1,5,First Player,First Player,,4 - 1,3,40 - 0,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 1,5,First Player,First Player,,4 - 1,4,40 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 1,6,Second Player,Second Player,,4 - 2,1,0 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 1,6,Second Player,Second Player,,4 - 2,2,15 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 1,6,Second Player,Second Player,,4 - 2,3,15 - 30,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 1,6,Second Player,Second Player,,4 - 2,4,15 - 40,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 1,7,First Player,First Player,,5 - 2,1,15 - 0,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 1,7,First Player,First Player,,5 - 2,2,30 - 0,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 1,7,First Player,First Player,,5 - 2,3,30 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 1,7,First Player,First Player,,5 - 2,4,30 - 30,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 1,7,First Player,First Player,,5 - 2,5,40 - 30,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 1,7,First Player,First Player,,5 - 2,6,40 - 40,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 1,7,First Player,First Player,,5 - 2,7,A - 40,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 1,8,Second Player,Second Player,,5 - 3,1,0 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 1,8,Second Player,Second Player,,5 - 3,2,0 - 30,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 1,8,Second Player,Second Player,,5 - 3,3,0 - 40,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 1,8,Second Player,Second Player,,5 - 3,4,15 - 40,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 1,9,First Player,First Player,,6 - 3,1,0 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 1,9,First Player,First Player,,6 - 3,2,15 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 1,9,First Player,First Player,,6 - 3,3,30 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 1,9,First Player,First Player,,6 - 3,4,40 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 2,1,Second Player,Second Player,,0 - 1,1,0 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 2,1,Second Player,Second Player,,0 - 1,2,15 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 2,1,Second Player,Second Player,,0 - 1,3,15 - 30,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 2,1,Second Player,Second Player,,0 - 1,4,30 - 30,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 2,1,Second Player,Second Player,,0 - 1,5,30 - 40,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 2,2,First Player,First Player,,1 - 1,1,0 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 2,2,First Player,First Player,,1 - 1,2,15 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 2,2,First Player,First Player,,1 - 1,3,30 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 2,2,First Player,First Player,,1 - 1,4,40 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 2,2,First Player,First Player,,1 - 1,5,40 - 30,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 2,3,Second Player,Second Player,,1 - 2,1,0 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 2,3,Second Player,Second Player,,1 - 2,2,15 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 2,3,Second Player,Second Player,,1 - 2,3,15 - 30,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 2,3,Second Player,Second Player,,1 - 2,4,30 - 30,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 2,3,Second Player,Second Player,,1 - 2,5,30 - 40,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 2,4,First Player,Second Player,First Player,1 - 3,1,0 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 2,4,First Player,Second Player,First Player,1 - 3,2,0 - 30,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 2,4,First Player,Second Player,First Player,1 - 3,3,0 - 40,First Play,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 2,4,First Player,Second Player,First Player,1 - 3,4,15 - 40,First Play,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 2,5,Second Player,Second Player,,1 - 4,1,0 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 2,5,Second Player,Second Player,,1 - 4,2,15 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 2,5,Second Player,Second Player,,1 - 4,3,15 - 30,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 2,5,Second Player,Second Player,,1 - 4,4,15 - 40,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 2,5,Second Player,Second Player,,1 - 4,5,30 - 40,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 2,6,First Player,Second Player,First Player,1 - 5,1,15 - 0,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 2,6,First Player,Second Player,First Player,1 - 5,2,15 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 2,6,First Player,Second Player,First Player,1 - 5,3,15 - 30,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 2,6,First Player,Second Player,First Player,1 - 5,4,15 - 40,First Play,,,2026-01-11 16:03:58
